保存loss
epoch= 0 sampleNo.= 0 minloss= 10 cross_entropy= tensor(16.2742, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0254, device='cuda:0')
epoch= 0 sampleNo.= 1 minloss= 10 cross_entropy= tensor(13.1226, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0609, device='cuda:0')
epoch= 0 sampleNo.= 2 minloss= 10 cross_entropy= tensor(12.2768, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0931, device='cuda:0')
epoch= 0 sampleNo.= 3 minloss= 10 cross_entropy= tensor(11.2625, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 4 minloss= 10 cross_entropy= tensor(11.6096, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 5 minloss= 10 cross_entropy= tensor(11.1879, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 6 minloss= 10 cross_entropy= tensor(10.8769, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 7 minloss= 10 cross_entropy= tensor(10.6622, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 8 minloss= 10 cross_entropy= tensor(11.2524, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 9 minloss= 10 cross_entropy= tensor(10.5246, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 10 minloss= 10 cross_entropy= tensor(10.3632, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 11 minloss= 10 cross_entropy= tensor(10.4616, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 12 minloss= 10 cross_entropy= tensor(10.4998, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 13 minloss= 10 cross_entropy= tensor(10.3116, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 14 minloss= 10 cross_entropy= tensor(10.6041, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 15 minloss= 10 cross_entropy= tensor(10.4902, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 16 minloss= 10 cross_entropy= tensor(10.3860, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 17 minloss= 10 cross_entropy= tensor(10.3126, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 18 minloss= 10 cross_entropy= tensor(10.1689, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 19 minloss= 10 cross_entropy= tensor(10.2318, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 20 minloss= 10 cross_entropy= tensor(10.6528, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 21 minloss= 10 cross_entropy= tensor(10.1550, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 22 minloss= 10 cross_entropy= tensor(10.3518, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 23 minloss= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 24 minloss= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.1573, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 25 minloss= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.3990, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 26 minloss= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.1132, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 27 minloss= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.1722, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 28 minloss= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.5235, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 29 minloss= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.1318, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 30 minloss= tensor(9.8071, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8071, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 31 minloss= tensor(9.8071, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.2026, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 32 minloss= tensor(9.8071, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9730, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 33 minloss= tensor(9.8071, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.0214, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 34 minloss= tensor(9.8071, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.2711, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 35 minloss= tensor(9.7574, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7574, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 36 minloss= tensor(9.7574, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.0106, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 37 minloss= tensor(9.7574, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7629, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 38 minloss= tensor(9.7574, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8225, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 39 minloss= tensor(9.7029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7029, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 40 minloss= tensor(9.7029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7839, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
