保存参数 
保存loss
epoch= 0 sampleNo.= 0 minloss= tensor(9.6860, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6860, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2928, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 1 minloss= tensor(9.5792, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5792, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2429, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 2 minloss= tensor(8.8408, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.8408, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3901, device='cuda:0')
epoch= 0 sampleNo.= 3 minloss= tensor(8.8408, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.4345, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3062, device='cuda:0')
epoch= 0 sampleNo.= 4 minloss= tensor(8.8408, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3509, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3217, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 5 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4660, device='cuda:0')
epoch= 0 sampleNo.= 6 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3030, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3084, device='cuda:0')
epoch= 0 sampleNo.= 7 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.1759, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3574, device='cuda:0')
epoch= 0 sampleNo.= 8 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5730, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2447, device='cuda:0')
epoch= 0 sampleNo.= 9 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.9596, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4046, device='cuda:0')
epoch= 0 sampleNo.= 10 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.2639, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3255, device='cuda:0')
epoch= 0 sampleNo.= 11 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.7787, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4073, device='cuda:0')
epoch= 0 sampleNo.= 12 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.2271, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3395, device='cuda:0')
epoch= 0 sampleNo.= 13 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.7437, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4069, device='cuda:0')
epoch= 0 sampleNo.= 14 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.4293, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3253, device='cuda:0')
epoch= 0 sampleNo.= 15 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6579, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2500, device='cuda:0')
epoch= 0 sampleNo.= 16 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.1861, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3389, device='cuda:0')
epoch= 0 sampleNo.= 17 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.2861, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3363, device='cuda:0')
epoch= 0 sampleNo.= 18 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.9130, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3816, device='cuda:0')
epoch= 0 sampleNo.= 19 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6769, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2225, device='cuda:0')
epoch= 0 sampleNo.= 20 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5395, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4563, device='cuda:0')
epoch= 0 sampleNo.= 21 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.1138, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3750, device='cuda:0')
epoch= 0 sampleNo.= 22 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.8458, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4088, device='cuda:0')
epoch= 0 sampleNo.= 23 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.2993, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2181, device='cuda:0')
epoch= 0 sampleNo.= 24 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.1303, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3876, device='cuda:0')
epoch= 0 sampleNo.= 25 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.9226, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3735, device='cuda:0')
epoch= 0 sampleNo.= 26 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6387, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2352, device='cuda:0')
epoch= 0 sampleNo.= 27 minloss= tensor(8.3968, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.1129, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3533, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 28 minloss= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4615, device='cuda:0')
epoch= 0 sampleNo.= 29 minloss= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.0450, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3677, device='cuda:0')
epoch= 0 sampleNo.= 30 minloss= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5763, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3148, device='cuda:0')
epoch= 0 sampleNo.= 31 minloss= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.0332, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3589, device='cuda:0')
epoch= 0 sampleNo.= 32 minloss= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.0266, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3738, device='cuda:0')
epoch= 0 sampleNo.= 33 minloss= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4631, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4492, device='cuda:0')
epoch= 0 sampleNo.= 34 minloss= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.0161, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3874, device='cuda:0')
epoch= 0 sampleNo.= 35 minloss= tensor(8.3698, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6155, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2621, device='cuda:0')
