保存参数 
保存loss
epoch= 0 sampleNo.= 0 minloss= tensor(8.0140, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0140, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4938, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 1 minloss= tensor(7.8180, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8180, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5393, device='cuda:0')
epoch= 0 sampleNo.= 2 minloss= tensor(7.8180, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8839, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5160, device='cuda:0')
epoch= 0 sampleNo.= 3 minloss= tensor(7.8180, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9539, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5089, device='cuda:0')
epoch= 0 sampleNo.= 4 minloss= tensor(7.8180, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1426, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4589, device='cuda:0')
epoch= 0 sampleNo.= 5 minloss= tensor(7.8180, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4490, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4228, device='cuda:0')
epoch= 0 sampleNo.= 6 minloss= tensor(7.8180, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9390, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5013, device='cuda:0')
epoch= 0 sampleNo.= 7 minloss= tensor(7.8180, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3204, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4523, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 8 minloss= tensor(7.7340, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7340, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5550, device='cuda:0')
epoch= 0 sampleNo.= 9 minloss= tensor(7.7340, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1240, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4749, device='cuda:0')
epoch= 0 sampleNo.= 10 minloss= tensor(7.7340, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8243, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5445, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 11 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5805, device='cuda:0')
epoch= 0 sampleNo.= 12 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3419, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4471, device='cuda:0')
epoch= 0 sampleNo.= 13 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3057, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4437, device='cuda:0')
epoch= 0 sampleNo.= 14 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7146, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5368, device='cuda:0')
epoch= 0 sampleNo.= 15 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7459, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5543, device='cuda:0')
epoch= 0 sampleNo.= 16 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9128, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5275, device='cuda:0')
epoch= 0 sampleNo.= 17 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4243, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4263, device='cuda:0')
