保存参数 
保存loss
epoch= 0 sampleNo.= 0 minloss= tensor(8.0805, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0805, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4651, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 1 minloss= tensor(7.6479, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6479, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5470, device='cuda:0')
epoch= 0 sampleNo.= 2 minloss= tensor(7.6479, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8398, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5279, device='cuda:0')
epoch= 0 sampleNo.= 3 minloss= tensor(7.6479, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9409, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4909, device='cuda:0')
epoch= 0 sampleNo.= 4 minloss= tensor(7.6479, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0450, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5160, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 5 minloss= tensor(7.5267, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5267, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5732, device='cuda:0')
epoch= 0 sampleNo.= 6 minloss= tensor(7.5267, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2536, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4543, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 7 minloss= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5683, device='cuda:0')
epoch= 0 sampleNo.= 8 minloss= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9753, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4836, device='cuda:0')
epoch= 0 sampleNo.= 9 minloss= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.7253, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3532, device='cuda:0')
epoch= 0 sampleNo.= 10 minloss= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0695, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4941, device='cuda:0')
epoch= 0 sampleNo.= 11 minloss= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0599, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4921, device='cuda:0')
epoch= 0 sampleNo.= 12 minloss= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1157, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5017, device='cuda:0')
epoch= 0 sampleNo.= 13 minloss= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9257, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4914, device='cuda:0')
epoch= 0 sampleNo.= 14 minloss= tensor(7.4894, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7140, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5321, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 15 minloss= tensor(7.4844, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4844, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5754, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 16 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6290, device='cuda:0')
epoch= 0 sampleNo.= 17 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2898, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4534, device='cuda:0')
